province_state,country_region,last_update,lat,long,confirmed,deaths,recovered,active,fips,incident_rate,people_tested,people_hospitalized,mortality_rate,uid,iso3,testing_rate,hospitalization_rate
Australian Capital Territory,Australia,8/27/20 12:30,-35.4735,149.0124,113,3,110,0,,26.39570194,,,2.654867257,3601,AUS,,
New South Wales,Australia,8/27/20 12:30,-33.8688,151.2093,4006,52,2994,960,,49.34712983,,,1.298052921,3602,AUS,,
Northern Territory,Australia,8/27/20 12:30,-12.4634,130.8456,33,0,31,2,,13.43648208,,,0,3603,AUS,,
Queensland,Australia,8/27/20 12:30,-27.4698,153.0251,1110,6,1083,21,,21.69875867,,,0.540540541,3604,AUS,,
South Australia,Australia,8/27/20 12:30,-34.9285,138.6007,463,4,456,3,,26.35923712,,,0.863930886,3605,AUS,,
Tasmania,Australia,8/27/20 12:30,-42.8821,147.3272,230,13,216,1,,42.95051354,,,5.652173913,3606,AUS,,
Victoria,Australia,8/27/20 12:30,-37.8136,144.9631,18714,485,14837,3392,,282.2667009,,,2.59164262,3607,AUS,,
Western Australia,Australia,8/27/20 12:30,-31.9505,115.8605,653,9,637,7,,24.82323424,,,1.378254211,3608,AUS,,
Acre,Brazil,8/27/20 12:30,-9.0238,-70.812,24119,607,18928,4584,,2734.782042,,,2.516688088,7601,BRA,,
Alagoas,Brazil,8/27/20 12:30,-9.5713,-36.782,77317,1844,71917,3556,,2316.713495,,,2.384986484,7602,BRA,,
Amapa,Brazil,8/27/20 12:30,0.902,-52.003,41981,647,30094,11240,,4963.871491,,,1.541173388,7603,BRA,,
Amazonas,Brazil,8/27/20 12:30,-3.4168,-65.8561,117412,3600,98916,14896,,2832.893041,,,3.06612612,7604,BRA,,
Bahia,Brazil,8/27/20 12:30,-12.5797,-41.7007,245021,5116,228006,11899,,1647.414413,,,2.087984295,7605,BRA,,
Ceara,Brazil,8/27/20 12:30,-5.4984,-39.3206,208782,8351,183833,16598,,2286.248541,,,3.999865889,7606,BRA,,
Distrito Federal,Brazil,8/27/20 12:30,-15.7998,-47.8645,155253,2399,135303,17551,,5148.895554,,,1.545219738,7607,BRA,,
Espirito Santo,Brazil,8/27/20 12:30,-19.1834,-40.3089,107909,3086,94437,10386,,2685.205231,,,2.859817068,7608,BRA,,
Goias,Brazil,8/27/20 12:30,-15.827,-49.8362,124593,2888,115546,6159,,1775.245307,,,2.317947236,7609,BRA,,
Maranhao,Brazil,8/27/20 12:30,-4.9609,-45.2744,147676,3390,135853,8433,,2087.239888,,,2.295565969,7610,BRA,,
Mato Grosso,Brazil,8/27/20 12:30,-12.6819,-56.9211,85709,2611,66627,16471,,2459.745625,,,3.046354525,7611,BRA,,
Mato Grosso do Sul,Brazil,8/27/20 12:30,-20.7722,-54.7852,45359,783,37579,6997,,1632.214052,,,1.726228532,7612,BRA,,
Minas Gerais,Brazil,8/27/20 12:30,-18.5122,-44.555,201973,4948,165541,31484,,954.1073933,,,2.449832403,7613,BRA,,
Para,Brazil,8/27/20 12:30,-1.9981,-54.9306,193564,6097,178977,8490,,2249.994624,,,3.149862578,7614,BRA,,
Paraiba,Brazil,8/27/20 12:30,-7.24,-36.782,103213,2371,68072,32770,,2568.684365,,,2.297191245,7615,BRA,,
Parana,Brazil,8/27/20 12:30,-25.2521,-52.0215,122241,3102,80198,38941,,1069.104948,,,2.537610131,7616,BRA,,
Pernambuco,Brazil,8/27/20 12:30,-8.8137,-36.9541,121078,7460,101793,11825,,1266.894428,,,6.161317498,7617,BRA,,
Piaui,Brazil,8/27/20 12:30,-7.7183,-42.7289,74096,1754,71690,652,,2263.69879,,,2.367199309,7618,BRA,,
Rio Grande do Norte,Brazil,8/27/20 12:30,-5.4026,-36.9541,60442,2215,37034,21193,,1723.539595,,,3.664670262,7620,BRA,,
Rio Grande do Sul,Brazil,8/27/20 12:30,-30.0346,-51.2177,115984,3235,105164,7585,,1019.438899,,,2.789177818,7621,BRA,,
Rio de Janeiro,Brazil,8/27/20 12:30,-22.9068,-43.1729,216675,15700,195166,5809,,1254.999799,,,7.245875159,7619,BRA,,
Rondonia,Brazil,8/27/20 12:30,-11.5057,-63.5806,53119,1100,43356,8663,,2988.873103,,,2.070822116,7622,BRA,,
Roraima,Brazil,8/27/20 12:30,-2.7376,-62.0751,42359,582,10626,31151,,6992.691837,,,1.373970113,7623,BRA,,
Santa Catarina,Brazil,8/27/20 12:30,-27.2423,-50.2189,137560,2142,127269,8149,,1919.945154,,,1.557138703,7624,BRA,,
Sao Paulo,Brazil,8/27/20 12:30,-23.5505,-46.6333,776135,29194,592537,154404,,1690.224464,,,3.761459025,7625,BRA,,
Sergipe,Brazil,8/27/20 12:30,-10.5741,-37.3857,71222,1822,59808,9592,,3098.365334,,,2.55819831,7626,BRA,,
Tocantins,Brazil,8/27/20 12:30,-10.1753,-48.2982,46364,621,28177,17566,,2947.739985,,,1.33940126,7627,BRA,,
Alberta,Canada,8/27/20 12:30,53.9333,-116.5765,13210,235,11799,1176,,299.3329475,,,1.778955337,12401,CAN,,
British Columbia,Canada,8/27/20 12:30,53.7267,-127.6476,5304,203,4199,902,,103.7778543,,,3.827300151,12402,CAN,,
Diamond Princess,Canada,8/27/20 12:30,,,0,1,,-1,,,,,,12413,CAN,,
Grand Princess,Canada,8/27/20 12:30,,,13,0,13,0,,,,,0,12414,CAN,,
Manitoba,Canada,8/27/20 12:30,53.7609,-98.8139,1043,13,622,408,,75.71594398,,,1.246404602,12403,CAN,,
New Brunswick,Canada,8/27/20 12:30,46.5653,-66.4619,190,2,180,8,,24.35919297,,,1.052631579,12404,CAN,,
Newfoundland and Labrador,Canada,8/27/20 12:30,53.1355,-57.6604,268,3,265,0,,51.40352728,,,1.119402985,12405,CAN,,
Northwest Territories,Canada,8/27/20 12:30,64.8255,-124.8457,5,0,5,0,,11.13486549,,,0,12406,CAN,,
Nova Scotia,Canada,8/27/20 12:30,44.682,-63.7443,1081,65,1011,5,,110.5931003,,,6.012950971,12407,CAN,,
Ontario,Canada,8/27/20 12:30,51.2538,-85.3232,43658,2848,39628,1182,,296.7544412,,,6.523432132,12408,CAN,,
Prince Edward Island,Canada,8/27/20 12:30,46.5107,-63.4168,44,0,41,3,,27.82028098,,,0,12409,CAN,,
Quebec,Canada,8/27/20 12:30,52.9399,-73.5491,61945,5747,54922,1276,,725.5489024,,,9.277584954,12410,CAN,,
Saskatchewan,Canada,8/27/20 12:30,52.9399,-106.4509,1604,24,1520,60,,135.7405561,,,1.496259352,12411,CAN,,
Yukon,Canada,8/27/20 12:30,64.2823,-135,15,0,15,0,,36.51589659,,,0,12412,CAN,,
Antofagasta,Chile,8/27/20 12:30,-23.6509,-70.3975,17683,428,16469,786,,2910.618994,,,2.420403778,15201,CHL,,
Araucania,Chile,8/27/20 12:30,-38.9489,-72.3311,4989,92,4621,276,,521.1946211,,,1.844056925,15202,CHL,,
Arica y Parinacota,Chile,8/27/20 12:30,-18.594,-69.4785,6375,100,5702,573,,2819.94798,,,1.568627451,15203,CHL,,
Atacama,Chile,8/27/20 12:30,-27.5661,-70.0503,5375,40,4677,658,,1860.22205,,,0.744186047,15204,CHL,,
Aysen,Chile,8/27/20 12:30,-45.9864,-73.7669,110,1,98,11,,106.6325443,,,0.909090909,15205,CHL,,
Biobio,Chile,8/27/20 12:30,-37.4464,-72.1416,16042,191,13958,1893,,1030.443761,,,1.19062461,15206,CHL,,
Coquimbo,Chile,8/27/20 12:30,-29.959,-71.3389,9451,119,8247,1085,,1247.515134,,,1.259126018,15207,CHL,,
Los Lagos,Chile,8/27/20 12:30,-41.9198,-72.1416,6221,66,5475,680,,750.686611,,,1.060922681,15208,CHL,,
Los Rios,Chile,8/27/20 12:30,-40.231,-72.3311,1068,15,1003,50,,277.5200929,,,1.404494382,15209,CHL,,
Magallanes,Chile,8/27/20 12:30,-52.368,-70.9863,3004,34,2237,733,,1803.846685,,,1.131824234,15210,CHL,,
Maule,Chile,8/27/20 12:30,-35.5183,-71.6885,11267,254,10230,783,,1078.233408,,,2.254371172,15211,CHL,,
Metropolitana,Chile,8/27/20 12:30,-33.4376,-70.6505,271016,8402,258015,4599,,3810.253278,,,3.100185967,15212,CHL,,
Nuble,Chile,8/27/20 12:30,-36.7226,-71.7622,4414,75,3932,407,,918.4180904,,,1.699139103,15213,CHL,,
OHiggins,Chile,8/27/20 12:30,-34.5755,-71.0022,12974,324,11949,701,,1418.613424,,,2.497302297,15214,CHL,,
Tarapaca,Chile,8/27/20 12:30,-19.9232,-69.5132,10465,196,9738,531,,3165.858942,,,1.872909699,15215,CHL,,
Unknown,Chile,8/27/20 12:30,,,65,1,64,0,,,,,1.538461538,15217,CHL,,
Valparaiso,Chile,8/27/20 12:30,-33.0472,-71.6127,21846,652,19853,1341,,1203.03849,,,2.98452806,15216,CHL,,
Anhui,China,8/27/20 12:30,31.8257,117.2264,991,6,985,0,,1.567046173,,,0.605449041,15601,CHN,,
Beijing,China,8/27/20 12:30,40.1824,116.4142,935,9,926,0,,4.340761374,,,0.962566845,15602,CHN,,
Chongqing,China,8/27/20 12:30,30.0572,107.874,583,6,577,0,,1.879432624,,,1.02915952,15603,CHN,,
Fujian,China,8/27/20 12:30,26.0789,117.9874,375,1,366,8,,0.951535143,,,0.266666667,15604,CHN,,
Gansu,China,8/27/20 12:30,35.7518,104.2861,169,2,167,0,,0.640879788,,,1.183431953,15605,CHN,,
Guangdong,China,8/27/20 12:30,23.3417,113.4244,1734,8,1706,20,,1.528291909,,,0.461361015,15606,CHN,,
Guangxi,China,8/27/20 12:30,23.8298,108.7881,255,2,253,0,,0.517661389,,,0.784313725,15607,CHN,,
Guizhou,China,8/27/20 12:30,26.8154,106.8748,147,2,145,0,,0.408333333,,,1.360544218,15608,CHN,,
Hainan,China,8/27/20 12:30,19.1959,109.7453,171,6,165,0,,1.830835118,,,3.50877193,15609,CHN,,
Hebei,China,8/27/20 12:30,37.8957,114.9042,362,6,343,13,,0.479089465,,,1.657458564,15610,CHN,,
Heilongjiang,China,8/27/20 12:30,47.862,127.7615,948,13,934,1,,2.512589451,,,1.371308017,15611,CHN,,
Henan,China,8/27/20 12:30,33.882,113.614,1276,22,1254,0,,1.328474753,,,1.724137931,15612,CHN,,
Hong Kong,China,8/27/20 12:30,22.3,114.2,4755,81,4161,513,,63.42547167,,,1.703470032,344,HKG,,
Hubei,China,8/27/20 12:30,30.9756,112.2707,68139,4512,63626,1,,115.1580193,,,6.621758464,15613,CHN,,
Hunan,China,8/27/20 12:30,27.6104,111.7088,1019,4,1015,0,,1.477025656,,,0.392541708,15614,CHN,,
Inner Mongolia,China,8/27/20 12:30,44.0935,113.9448,260,1,257,2,,1.026045777,,,0.384615385,15615,CHN,,
Jiangsu,China,8/27/20 12:30,32.9711,119.455,665,0,657,8,,0.82598435,,,0,15616,CHN,,
Jiangxi,China,8/27/20 12:30,27.614,115.7221,935,1,932,2,,2.0116179,,,0.106951872,15617,CHN,,
Jilin,China,8/27/20 12:30,43.6661,126.1923,157,2,155,0,,0.580621302,,,1.27388535,15618,CHN,,
Liaoning,China,8/27/20 12:30,41.2956,122.6085,262,2,254,6,,0.601055288,,,0.763358779,15619,CHN,,
Macau,China,8/27/20 12:30,22.1667,113.55,46,0,46,0,,7.08409436,,,0,446,MAC,,
Ningxia,China,8/27/20 12:30,37.2692,106.1655,75,0,75,0,,1.090116279,,,0,15620,CHN,,
Qinghai,China,8/27/20 12:30,35.7452,95.9956,18,0,18,0,,0.298507463,,,0,15621,CHN,,
Shaanxi,China,8/27/20 12:30,35.1917,108.8701,364,3,353,8,,0.942028986,,,0.824175824,15622,CHN,,
Shandong,China,8/27/20 12:30,36.3427,118.1498,831,7,801,23,,0.827112571,,,0.842358604,15623,CHN,,
Shanghai,China,8/27/20 12:30,31.202,121.4491,888,7,807,74,,3.663366337,,,0.788288288,15624,CHN,,
Shanxi,China,8/27/20 12:30,37.5777,112.2922,202,0,201,1,,0.543302851,,,0,15625,CHN,,
Sichuan,China,8/27/20 12:30,30.6171,102.7103,644,3,619,22,,0.772089677,,,0.465838509,15626,CHN,,
Tianjin,China,8/27/20 12:30,39.3054,117.323,220,3,203,14,,1.41025641,,,1.363636364,15627,CHN,,
Tibet,China,8/27/20 12:30,31.6927,88.0924,1,0,1,0,,0.029069767,,,0,15628,CHN,,
Xinjiang,China,8/27/20 12:30,41.1129,85.2401,902,3,792,107,,3.62685967,,,0.332594235,15629,CHN,,
Yunnan,China,8/27/20 12:30,24.974,101.487,199,2,189,8,,0.412008282,,,1.005025126,15630,CHN,,
Zhejiang,China,8/27/20 12:30,29.1832,120.0934,1277,1,1268,8,,2.225902039,,,0.078308536,15631,CHN,,
Amazonas,Colombia,8/27/20 12:30,-1.4429,-71.5724,2693,107,2542,44,,3516.170729,,,3.973264018,17001,COL,,
Antioquia,Colombia,8/27/20 12:30,7.1986,-75.3412,74796,1533,54702,18561,,1167.39206,,,2.049574844,17002,COL,,
Arauca,Colombia,8/27/20 12:30,7.0762,-70.7105,788,14,524,250,,300.5637477,,,1.776649746,17003,COL,,
Atlantico,Colombia,8/27/20 12:30,10.6966,-74.8741,63430,2852,55955,4623,,2501.659425,,,4.496295128,17004,COL,,
Bolivar,Colombia,8/27/20 12:30,8.6704,-74.03,24376,688,21051,2637,,1177.521967,,,2.82244831,17005,COL,,
Boyaca,Colombia,8/27/20 12:30,5.4545,-73.362,3395,64,1735,1596,,278.8785059,,,1.885125184,17006,COL,,
Caldas,Colombia,8/27/20 12:30,5.2983,-75.2479,2547,41,1400,1106,,255.1452284,,,1.609736945,17007,COL,,
Capital District,Colombia,8/27/20 12:30,4.711,-74.0721,199324,5160,132641,61523,,2689.001353,,,2.588749975,17008,COL,,
Caqueta,Colombia,8/27/20 12:30,0.8699,-73.8419,5206,177,3463,1566,,1296.673134,,,3.399923166,17009,COL,,
Casanare,Colombia,8/27/20 12:30,5.7589,-71.5724,930,21,575,334,,221.1631756,,,2.258064516,17010,COL,,
Cauca,Colombia,8/27/20 12:30,2.705,-76.826,4542,143,2823,1576,,310.1425208,,,3.148392779,17011,COL,,
Cesar,Colombia,8/27/20 12:30,9.3373,-73.6536,8770,233,5013,3524,,730.4839185,,,2.656784493,17012,COL,,
Choco,Colombia,8/27/20 12:30,5.2528,-76.826,3682,135,3175,372,,688.4482056,,,3.666485606,17013,COL,,
Cordoba,Colombia,8/27/20 12:30,8.0493,-75.574,18335,1144,12857,4334,,1027.295755,,,6.239432779,17014,COL,,
Cundinamarca,Colombia,8/27/20 12:30,5.026,-74.03,20788,590,13939,6259,,712.147061,,,2.838175871,17015,COL,,
Guainia,Colombia,8/27/20 12:30,2.5854,-68.5247,88,2,15,71,,182.8989483,,,2.272727273,17016,COL,,
Guaviare,Colombia,8/27/20 12:30,1.0654,-73.2603,238,1,193,44,,287.5542185,,,0.420168067,17017,COL,,
Huila,Colombia,8/27/20 12:30,2.5359,-75.5277,4050,99,2212,1739,,368.0526652,,,2.444444444,17018,COL,,
La Guajira,Colombia,8/27/20 12:30,11.3548,-72.5205,4631,213,3269,1149,,525.9153266,,,4.599438566,17019,COL,,
